date, pm25, pm10, o3, no2, so2, co
2021/3/12, 129, 116, 39, 25, 4, 9
2021/3/13, 136, 85, 19, 20, 3, 9
2021/3/14, 111, 120, 30, 26, 4, 10
2021/3/15, 150, 254, 20, 24, 3, 11
2021/3/16, 161, 322, 19, 23, 5, 8
2021/3/17, 144, 182, 10, 22, 5, 7
2021/3/18, 142, 92, 15, 15, 3, 7
2021/3/19, 115, 320, 22, 13, 3, 4
2021/3/20, 151, 141, 36, 15, 3, 3
2021/3/21, 106, 100, 19, 29, 3, 4
2021/3/22, 114, 112, 30, 27, 3, 5
2021/3/23, 149, 134, 24, 35, 5, 6
2021/3/24, 154, 126, 31, 28, 4, 7
2021/3/25, 141, 85, 32, 12, 3, 5
2021/3/26, 100, 96, 40, 21, 3, 3
2021/3/27, 97, 182, 33, 27, 5, 4
2021/3/28, 159, 590, 43, 22, 6, 5
2021/3/29, 226, 465, 26, 27, 5, 7
2021/3/30, 194, 162, 26, 23, 4, 6
2021/3/31, 161, 22, 23, 6, 3, 2
2020/10/1, 67, 24, 23, 6, 3, 4
2020/10/2, 44, 34, 21, 8, 2, 4
2020/10/3, 51, 47, 15, 14, 3, 4
2020/10/4, 53, 55, 10, 15, 3, 4
2020/10/5, 79, 59, 13, 14, 2, 5
2020/10/6, 94, 60, 26, 15, 2, 5
2020/10/7, 75, 55, 7, 17, 3, 5
2020/10/8, 74, 71, 11, 16, 2, 7
2020/10/9, 101, 89, 10, 20, 2, 7
2020/10/10, 114, 90, 9, 15, 2, 7
2020/10/11, 111, 54, 18, 14, 3, 5
2020/10/12, 68, 41, 17, 10, , 5
2020/10/13, 64, 18, 31, 9, 3, 3
2020/10/14, 29, 34, 18, 16, 2, 4
2020/10/15, 67, 35, 33, 12, 2, 3
2020/10/16, 43, 55, 15, 28, 3, 5
2020/10/17, 77, 64, 26, 19, 3, 5
2020/10/18, 87, 60, 33, 21, 3, 5
2020/10/19, 77, 62, 25, 23, 3, 5
2020/10/20, 84, 91, 22, 23, 3, 4
2020/10/21, 102, 110, 30, 24, 3, 6
2020/10/22, 138, 106, 17, 31, 5, 7
2020/10/23, 132, 123, 14, 31, 5, 9
